date,AverageTemp,AverageTempUncertainty
1/1/1853,24.219,1.072
2/1/1853,23.765,0.983
3/1/1853,25.812,1.493
4/1/1853,26.842,1.219
5/1/1853,27.647,0.964
6/1/1853,27.235,0.977
7/1/1853,27.277,0.925
8/1/1853,26.925,0.928
9/1/1853,26.474,0.916
10/1/1853,25.969,1.005
11/1/1853,25.665,1.556
12/1/1853,24.954,0.993
1/1/1854,24.421,1.415
2/1/1854,24.629,1.057
3/1/1854,26.125,1.256
4/1/1854,26.607,0.864
5/1/1854,27.687,0.935
6/1/1854,26.999,0.998
7/1/1854,27.488,1.183
8/1/1854,27.016,1.125
9/1/1854,26.072,0.873
10/1/1854,26.41,1.414
11/1/1854,25.601,1.045
12/1/1854,25.504,1.759
1/1/1855,25.185,1.682
2/1/1855,25.548,1.014
3/1/1855,26.013,0.877
4/1/1855,27.617,1.332
5/1/1855,27.833,1.037
6/1/1855,26.892,1.087
7/1/1855,26.596,1.042
8/1/1855,26.583,0.889
9/1/1855,25.912,0.87
10/1/1855,25.193,1.382
11/1/1855,25.101,0.924
12/1/1855,23.932,1.54
1/1/1856,24.518,1.071
2/1/1856,24.137,1.294
3/1/1856,25.375,1.062
4/1/1856,26.53,0.874
5/1/1856,26.985,1.206
6/1/1856,27.331,1.151
7/1/1856,26.504,1.099
8/1/1856,26.061,1.336
9/1/1856,25.925,1.076
10/1/1856,25.119,0.956
11/1/1856,24.804,1.162
12/1/1856,24.68,1.148
1/1/1857,24.307,1.055
2/1/1857,25.07,1.326
3/1/1857,25.768,1.202
4/1/1857,26.026,0.858
5/1/1857,26.524,0.888
6/1/1857,26.402,0.923
7/1/1857,26.694,0.923
8/1/1857,25.932,1.199
9/1/1857,25.726,0.87
10/1/1857,25.246,1.052
11/1/1857,,
12/1/1857,,
1/1/1858,25.062,1.51
2/1/1858,24.444,1.029
3/1/1858,25.699,0.975
4/1/1858,27.048,1.367
5/1/1858,27.091,1.168
6/1/1858,26.827,1.034
7/1/1858,26.342,1.041
8/1/1858,26.11,0.99
9/1/1858,25.93,1.01
10/1/1858,25.997,0.951
11/1/1858,25.906,1.09
12/1/1858,24.693,1.048
1/1/1859,24.597,0.972
2/1/1859,,
3/1/1859,25.619,1.21
4/1/1859,27.383,1.038
5/1/1859,27.855,1.037
6/1/1859,27.415,1.035
7/1/1859,26.484,1.042
8/1/1859,26.466,0.873
9/1/1859,25.914,0.865
10/1/1859,26.116,1.112
11/1/1859,25.533,1.175
12/1/1859,24.538,1.235
1/1/1860,24.56,0.993
2/1/1860,24.964,0.985
3/1/1860,25.128,1.823
4/1/1860,26.503,1.063
5/1/1860,27.117,0.874
6/1/1860,27.178,0.895
7/1/1860,26.984,0.903
8/1/1860,27.005,0.893
9/1/1860,26.458,0.964
10/1/1860,26.151,0.937
11/1/1860,25.015,0.997
12/1/1860,24.017,1.255
1/1/1861,23.481,0.95
2/1/1861,24.101,1.01
3/1/1861,25.465,0.93
4/1/1861,26.59,0.907
5/1/1861,26.906,1.057
6/1/1861,26.942,1.329
7/1/1861,26.664,1.122
8/1/1861,26.945,0.834
9/1/1861,26.172,0.839
10/1/1861,25.706,0.908
11/1/1861,25.846,1.263
12/1/1861,24.643,1.439
1/1/1862,23.154,0.978
2/1/1862,23.586,1.153
3/1/1862,25.131,0.867
4/1/1862,,
5/1/1862,,
6/1/1862,,
7/1/1862,,
8/1/1862,,
9/1/1862,,
10/1/1862,,
11/1/1862,,
12/1/1862,,
1/1/1863,,
2/1/1863,,
3/1/1863,,
4/1/1863,,
5/1/1863,,
6/1/1863,,
7/1/1863,,
8/1/1863,,
9/1/1863,,
10/1/1863,,
11/1/1863,,
12/1/1863,,
1/1/1864,,
2/1/1864,,
3/1/1864,,
4/1/1864,,
5/1/1864,,
6/1/1864,,
7/1/1864,,
8/1/1864,,
9/1/1864,,
10/1/1864,,
11/1/1864,,
12/1/1864,,
1/1/1865,25.881,1.118
2/1/1865,25.103,1.559
3/1/1865,25.281,0.977
4/1/1865,26.611,1.547
5/1/1865,27.262,1.037
6/1/1865,27.354,0.943
7/1/1865,,
8/1/1865,26.743,0.977
9/1/1865,26.515,0.872
10/1/1865,26.074,0.849
11/1/1865,25.876,1.176
12/1/1865,24.476,1.226
1/1/1866,25.304,0.977
2/1/1866,24.637,0.918
3/1/1866,25.417,1.068
4/1/1866,26.353,0.946
5/1/1866,27.604,0.991
6/1/1866,26.448,0.918
7/1/1866,27.178,1.009
8/1/1866,26.97,1.189
9/1/1866,26.272,0.804
10/1/1866,25.533,0.804
11/1/1866,25.667,0.907
12/1/1866,25.404,1.106
1/1/1867,24.695,0.977
2/1/1867,25.053,0.845
3/1/1867,25.968,0.902
4/1/1867,27.234,1.217
5/1/1867,27.001,0.807
6/1/1867,27.48,0.937
7/1/1867,,
8/1/1867,26.477,0.85
9/1/1867,26.579,0.931
10/1/1867,26.476,0.836
11/1/1867,26.229,1.331
12/1/1867,25.513,1.377
1/1/1868,24.844,1.188
2/1/1868,24.986,1.714
3/1/1868,25.752,0.897
4/1/1868,27.147,1.167
5/1/1868,27.656,1.096
6/1/1868,26.953,0.915
7/1/1868,27.009,0.833
8/1/1868,26.772,0.889
9/1/1868,26.504,0.943
10/1/1868,26.656,0.827
11/1/1868,25.483,1.042
12/1/1868,25.416,1.091
1/1/1869,24.967,1.137
2/1/1869,26.036,1.059
3/1/1869,25.79,1.108
4/1/1869,26.702,1.108
5/1/1869,27.644,0.934
6/1/1869,27.456,0.896
7/1/1869,27.288,1.057
8/1/1869,26.937,0.864
9/1/1869,26.92,0.847
10/1/1869,25.984,0.92
11/1/1869,25.326,1.132
12/1/1869,24.581,1.202
1/1/1870,24.605,1.033
2/1/1870,24.323,1.176
3/1/1870,26.074,1.406
4/1/1870,27.373,1.603
5/1/1870,27.602,0.909
6/1/1870,27.883,1.276
7/1/1870,27.489,1.119
8/1/1870,26.531,0.869
9/1/1870,26.33,0.924
10/1/1870,25.854,0.934
11/1/1870,25.257,1.062
12/1/1870,24.235,1.261
1/1/1871,24.44,1.293
2/1/1871,24.358,1.238
3/1/1871,25.905,1.044
4/1/1871,27.691,1.542
5/1/1871,27.589,1.041
6/1/1871,26.97,0.924
7/1/1871,27.002,0.92
8/1/1871,26.874,0.844
9/1/1871,26.355,1.212
10/1/1871,26.056,0.907
11/1/1871,24.852,0.973
12/1/1871,24.119,0.973
1/1/1872,24.094,1.663
2/1/1872,23.825,1.311
3/1/1872,25.788,1.003
4/1/1872,27.459,1.373
5/1/1872,27.967,1.018
6/1/1872,27.206,0.956
7/1/1872,27.186,0.873
8/1/1872,27.039,1.1
9/1/1872,26.704,0.864
10/1/1872,26.138,0.793
11/1/1872,25.46,0.865
12/1/1872,24.821,1.225
1/1/1873,24.125,0.945
2/1/1873,25.26,0.989
3/1/1873,25.763,0.9
4/1/1873,26.588,1.106
5/1/1873,27.191,1.127
6/1/1873,27.19,0.83
7/1/1873,26.823,1.051
8/1/1873,26.575,0.867
9/1/1873,26.349,0.956
10/1/1873,26.217,0.888
11/1/1873,25.899,0.997
12/1/1873,25.617,0.919
1/1/1874,24.668,1.093
2/1/1874,25.285,1.025
3/1/1874,25.43,1.331
4/1/1874,26.937,0.885
5/1/1874,27.765,1.059
6/1/1874,27.717,1.02
7/1/1874,27.054,0.947
8/1/1874,26.777,0.836
9/1/1874,26.828,0.926
10/1/1874,26.514,1.05
11/1/1874,25.377,0.846
12/1/1874,25.421,0.965
1/1/1875,23.859,0.888
2/1/1875,24.411,1.059
3/1/1875,26.005,1.359
4/1/1875,26.625,0.925
5/1/1875,27.493,1.065
6/1/1875,27.247,1.1
7/1/1875,27.132,0.979
8/1/1875,26.747,1.399
9/1/1875,26.16,0.873
10/1/1875,25.825,0.858
11/1/1875,24.83,1.092
12/1/1875,23.953,0.834
1/1/1876,24.103,0.878
2/1/1876,24.832,0.857
3/1/1876,25.597,1.107
4/1/1876,26.65,1.037
5/1/1876,26.856,0.943
6/1/1876,26.977,1.196
7/1/1876,26.604,0.92
8/1/1876,26.13,0.911
9/1/1876,26.325,0.892
10/1/1876,25.834,0.872
11/1/1876,24.983,1.023
12/1/1876,24.061,1.063
1/1/1877,25.045,1.278
2/1/1877,24.839,1.162
3/1/1877,26.233,0.839
4/1/1877,26.703,1.1
5/1/1877,27.399,1.118
6/1/1877,27.089,1.287
7/1/1877,27.114,1.059
8/1/1877,27.111,1.072
9/1/1877,26.779,0.908
10/1/1877,26.358,0.979
11/1/1877,26.689,1.174
12/1/1877,25.325,1.531
1/1/1878,24.093,1.143
2/1/1878,25.161,1.143
3/1/1878,27.072,0.913
4/1/1878,27.863,1.11
5/1/1878,27.438,0.856
6/1/1878,27.819,1.021
7/1/1878,27.461,1.034
8/1/1878,27.042,0.895
9/1/1878,27.027,1.043
10/1/1878,26.838,0.906
11/1/1878,26.461,0.897
12/1/1878,24.986,1.085
1/1/1879,24.664,0.872
2/1/1879,25.355,0.938
3/1/1879,25.656,0.82
4/1/1879,26.917,1.066
5/1/1879,27.624,1.195
6/1/1879,26.861,0.868
7/1/1879,26.785,1.098
8/1/1879,26.3,0.971
9/1/1879,26.278,0.904
10/1/1879,26.338,0.989
11/1/1879,25.457,0.962
12/1/1879,24.402,0.91
1/1/1880,23.985,1.101
2/1/1880,24.784,0.947
3/1/1880,25.695,0.955
4/1/1880,26.178,0.697
5/1/1880,27.383,0.748
6/1/1880,26.773,0.742
7/1/1880,26.827,0.756
8/1/1880,26.613,0.842
9/1/1880,26.471,0.852
10/1/1880,26.252,1.102
11/1/1880,25.279,1.46
12/1/1880,23.963,1.545
1/1/1881,24.233,1.514
2/1/1881,25.05,1.752
3/1/1881,25.156,1.147
4/1/1881,26.577,1.669
5/1/1881,27.02,1.069
6/1/1881,26.29,0.879
7/1/1881,26.383,0.72
8/1/1881,26.076,1.025
9/1/1881,26.445,0.838
10/1/1881,25.945,0.931
11/1/1881,25.518,0.852
12/1/1881,25.06,0.929
1/1/1882,25.568,0.895
2/1/1882,24.966,0.727
3/1/1882,25.706,0.639
4/1/1882,26.681,0.65
5/1/1882,27.316,0.697
6/1/1882,26.65,0.699
7/1/1882,26.347,0.719
8/1/1882,26.445,0.793
9/1/1882,26.877,0.979
10/1/1882,26.442,1.064
11/1/1882,25.368,0.904
12/1/1882,24.404,1.372
1/1/1883,24.4,0.682
2/1/1883,24.469,1.364
3/1/1883,25.789,0.912
4/1/1883,26.998,0.745
5/1/1883,27.422,0.74
6/1/1883,26.963,0.714
7/1/1883,26.993,0.941
8/1/1883,26.292,0.714
9/1/1883,26.274,1.095
10/1/1883,26.149,0.636
11/1/1883,25.403,1.084
12/1/1883,24.295,0.983
1/1/1884,24.808,1.146
2/1/1884,24.22,0.852
3/1/1884,25.168,0.764
4/1/1884,25.692,0.789
5/1/1884,26.177,0.867
6/1/1884,25.987,0.9
7/1/1884,26.256,0.69
8/1/1884,26.165,0.681
9/1/1884,25.851,0.68
10/1/1884,25.829,0.66
11/1/1884,24.949,0.803
12/1/1884,24.28,0.931
1/1/1885,24.417,1.327
2/1/1885,23.999,1.644
3/1/1885,25.507,1.141
4/1/1885,27.015,1.362
5/1/1885,27.515,1.293
6/1/1885,26.844,0.788
7/1/1885,26.572,0.638
8/1/1885,26.092,0.701
9/1/1885,25.915,0.613
10/1/1885,25.571,0.749
11/1/1885,25.277,0.789
12/1/1885,25.063,1.255
1/1/1886,23.386,0.968
2/1/1886,22.984,1.416
3/1/1886,25.028,0.584
4/1/1886,26.334,0.651
5/1/1886,26.839,0.678
6/1/1886,26.466,0.779
7/1/1886,26.662,1.122
8/1/1886,26.333,0.637
9/1/1886,26.357,0.627
10/1/1886,26.312,0.655
11/1/1886,25.108,0.815
12/1/1886,23.719,1.142
1/1/1887,23.782,0.84
2/1/1887,23.756,1.159
3/1/1887,24.855,1.212
4/1/1887,25.888,1.101
5/1/1887,26.732,0.789
6/1/1887,26.545,1.22
7/1/1887,26.592,0.728
8/1/1887,25.887,0.715
9/1/1887,26.499,0.666
10/1/1887,25.775,0.65
11/1/1887,25.484,0.755
12/1/1887,24.561,0.806
1/1/1888,24.582,0.973
2/1/1888,23.856,1.611
3/1/1888,25.837,0.825
4/1/1888,27.295,0.735
5/1/1888,27.519,0.91
6/1/1888,26.92,0.606
7/1/1888,27.322,0.719
8/1/1888,26.759,0.795
9/1/1888,26.621,0.696
10/1/1888,26.359,1.1
11/1/1888,26.051,0.648
12/1/1888,25.29,0.809
1/1/1889,24.479,0.782
2/1/1889,25.038,0.875
3/1/1889,26.272,0.796
4/1/1889,27.58,0.752
5/1/1889,28.06,0.733
6/1/1889,27.618,0.595
7/1/1889,26.878,1.399
8/1/1889,26.43,0.707
9/1/1889,26.239,0.757
10/1/1889,26.307,0.886
11/1/1889,25.208,0.805
12/1/1889,24.64,0.907
1/1/1890,24.325,0.693
2/1/1890,24.825,0.961
3/1/1890,25.315,1.164
4/1/1890,26.96,0.879
5/1/1890,26.895,0.797
6/1/1890,26.526,0.804
7/1/1890,26.59,0.786
8/1/1890,25.957,0.709
9/1/1890,25.897,0.693
10/1/1890,25.797,0.668
11/1/1890,25.164,0.844
12/1/1890,25.273,0.767
1/1/1891,25.016,1.01
2/1/1891,24.371,0.912
3/1/1891,25.072,0.637
4/1/1891,26.303,0.782
5/1/1891,27.315,1.413
6/1/1891,26.89,1.215
7/1/1891,26.472,0.438
8/1/1891,26.226,0.628
9/1/1891,26.465,0.55
10/1/1891,26.334,0.609
11/1/1891,25.384,0.748
12/1/1891,25.092,0.458
1/1/1892,24.514,0.519
2/1/1892,25.197,0.627
3/1/1892,25.664,1.368
4/1/1892,26.375,0.84
5/1/1892,27.083,0.962
6/1/1892,26.907,0.383
7/1/1892,26.496,0.953
8/1/1892,26.101,0.67
9/1/1892,26.43,0.672
10/1/1892,26.186,0.668
11/1/1892,25.276,1.044
12/1/1892,24.285,0.512
1/1/1893,23.906,0.936
2/1/1893,23.948,0.699
3/1/1893,25.314,0.687
4/1/1893,26.651,0.575
5/1/1893,26.507,0.595
6/1/1893,26.95,0.577
7/1/1893,26.762,1.191
8/1/1893,26.602,0.944
9/1/1893,26.435,0.657
10/1/1893,26.013,0.416
11/1/1893,25.507,0.455
12/1/1893,24.961,0.794
1/1/1894,24.243,0.77
2/1/1894,24.712,0.858
3/1/1894,25.552,1.097
4/1/1894,26.357,0.762
5/1/1894,27.004,0.503
6/1/1894,26.781,0.51
7/1/1894,26.298,0.713
8/1/1894,26.308,1.299
9/1/1894,26.273,0.934
10/1/1894,26.087,0.478
11/1/1894,25.509,0.615
12/1/1894,24.914,0.598
1/1/1895,24.307,0.788
2/1/1895,24.776,0.53
3/1/1895,25.131,0.817
4/1/1895,26.61,0.937
5/1/1895,26.842,0.801
6/1/1895,26.778,0.991
7/1/1895,26.551,0.555
8/1/1895,26.09,0.553
9/1/1895,26.737,0.585
10/1/1895,25.94,0.624
11/1/1895,25.227,0.823
12/1/1895,24.641,0.978
1/1/1896,24.134,1.372
2/1/1896,24.403,0.751
3/1/1896,25.253,0.557
4/1/1896,26.753,1.055
5/1/1896,26.603,1.137
6/1/1896,26.826,1.101
7/1/1896,26.519,1.402
8/1/1896,26.774,0.871
9/1/1896,26.481,0.89
10/1/1896,26.211,1.084
11/1/1896,26.104,0.631
12/1/1896,25.071,0.545
1/1/1897,25.674,0.585
2/1/1897,25.271,0.842
3/1/1897,26.412,1.167
4/1/1897,27.145,0.746
5/1/1897,27.888,0.499
6/1/1897,27.399,0.723
7/1/1897,26.811,0.545
8/1/1897,26.48,0.564
9/1/1897,26.597,0.653
10/1/1897,26.286,0.665
11/1/1897,26.038,0.619
12/1/1897,25.267,0.823
1/1/1898,24.787,0.8
2/1/1898,25.473,0.753
3/1/1898,25.774,0.643
4/1/1898,26.912,0.753
5/1/1898,27.846,0.726
6/1/1898,26.872,0.518
7/1/1898,26.421,0.453
8/1/1898,26.542,0.451
9/1/1898,26.352,0.472
10/1/1898,26.16,0.737
11/1/1898,25.579,0.652
12/1/1898,24.681,0.685
1/1/1899,24.724,0.758
2/1/1899,24.411,0.77
3/1/1899,25.181,0.982
4/1/1899,26.813,0.806
5/1/1899,27.372,0.774
6/1/1899,26.115,0.67
7/1/1899,26.867,0.603
8/1/1899,26.38,0.651
9/1/1899,26.664,0.749
10/1/1899,25.868,0.651
11/1/1899,25.428,1.068
12/1/1899,25.472,0.714
1/1/1900,24.678,0.883
2/1/1900,24.778,1.001
3/1/1900,26.247,0.805
4/1/1900,27.341,0.999
5/1/1900,27.382,0.833
6/1/1900,27.016,0.887
7/1/1900,26.907,0.979
8/1/1900,26.81,0.715
9/1/1900,26.607,0.74
10/1/1900,26.424,0.784
11/1/1900,25.685,0.689
12/1/1900,25.141,0.813
1/1/1901,25.395,0.771
2/1/1901,23.776,0.857
3/1/1901,25.74,0.721
4/1/1901,27.354,0.824
5/1/1901,27.6,0.736
6/1/1901,27.347,0.736
7/1/1901,27.056,0.792
8/1/1901,26.131,0.727
9/1/1901,26.354,0.688
10/1/1901,25.867,0.692
11/1/1901,25.399,0.721
12/1/1901,24.679,0.731
1/1/1902,24.621,0.83
2/1/1902,23.919,0.706
3/1/1902,26.027,0.695
4/1/1902,27.154,0.795
5/1/1902,27.292,0.726
6/1/1902,26.929,0.78
7/1/1902,26.998,0.811
8/1/1902,26.597,0.741
9/1/1902,26.25,0.684
10/1/1902,25.645,0.682
11/1/1902,25.91,0.74
12/1/1902,25.094,0.936
1/1/1903,24.979,0.636
2/1/1903,24.572,0.696
3/1/1903,25.542,0.54
4/1/1903,26.839,0.565
5/1/1903,27.627,0.556
6/1/1903,27.702,0.511
7/1/1903,27.036,0.413
8/1/1903,26.956,0.397
9/1/1903,26.647,0.507
10/1/1903,26.232,0.485
11/1/1903,25.75,0.679
12/1/1903,24.801,0.633
1/1/1904,24.409,0.678
2/1/1904,24.318,0.739
3/1/1904,25.446,0.664
4/1/1904,26.068,0.337
5/1/1904,26.886,0.369
6/1/1904,26.627,0.324
7/1/1904,26.579,0.404
8/1/1904,26.516,0.56
9/1/1904,26.249,0.429
10/1/1904,25.947,0.497
11/1/1904,25.375,0.581
12/1/1904,24.552,0.638
1/1/1905,24.552,0.816
2/1/1905,24.157,0.646
3/1/1905,25.897,0.693
4/1/1905,26.893,0.356
5/1/1905,27.58,0.367
6/1/1905,27.305,0.459
7/1/1905,26.501,0.34
8/1/1905,26.57,0.494
9/1/1905,26.231,0.327
10/1/1905,26.29,0.53
11/1/1905,25.359,0.513
12/1/1905,25.397,0.568
1/1/1906,24.889,0.442
2/1/1906,25.252,0.503
3/1/1906,25.825,0.428
4/1/1906,27.123,0.567
5/1/1906,27.442,0.459
6/1/1906,27.101,0.488
7/1/1906,26.953,0.292
8/1/1906,26.891,0.33
9/1/1906,26.449,0.511
10/1/1906,25.936,0.347
11/1/1906,25.261,0.423
12/1/1906,25.233,0.585
1/1/1907,24.407,0.453
2/1/1907,24.584,0.47
3/1/1907,25.39,0.289
4/1/1907,26.289,0.52
5/1/1907,27.321,0.447
